Occupation,All_workers,All_weekly,M_workers,M_weekly,F_workers,F_weekly,entities
"Pressers, textile, garment, and related materials",21,Na,9,Na,12,Na,
Sewing machine operators,147,493,42,Na,105,476,
Shoe and leather workers and repairers,5,Na,4,Na,1,Na,
Shoe machine operators and tenders,1,Na,0,Na,1,Na,
"Tailors, dressmakers, and sewers",37,Na,9,Na,27,Na,"Tailor, dressmaker"
Textile bleaching and dyeing machine operators and tenders,2,Na,2,Na,0,Na,
"Textile cutting machine setters, operators, and tenders",9,Na,7,Na,2,Na,
"Textile knitting and weaving machine setters, operators, and tenders",8,Na,3,Na,4,Na,
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",7,Na,5,Na,2,Na,
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",0,Na,0,Na,0,Na,
Fabric and apparel patternmakers,4,Na,3,Na,1,Na,
Upholsterers,29,Na,21,Na,7,Na,Upholsterer
"Textile, apparel, and furnishings workers, all other",16,Na,12,Na,4,Na,
Cabinetmakers and bench carpenters,40,Na,38,Na,2,Na,
Furniture finishers,6,Na,6,Na,0,Na,
"Model makers and patternmakers, wood",0,Na,0,Na,0,Na,
"Sawing machine setters, operators, and tenders, wood",26,Na,22,Na,4,Na,
"Woodworking machine setters, operators, and tenders, except sawing",23,Na,21,Na,1,Na,
"Woodworkers, all other",17,Na,14,Na,3,Na,Woodworker
"Power plant operators, distributors, and dispatchers",35,Na,34,Na,1,Na,
Stationary engineers and boiler operators,84,996,81,1012,3,Na,
Water and wastewater treatment plant and system operators,82,880,79,868,3,Na,
Miscellaneous plant and system operators,35,Na,33,Na,3,Na,
"Chemical processing machine setters, operators, and tenders",62,1052,57,1082,5,Na,
"Crushing, grinding, polishing, mixing, and blending workers",82,652,75,668,7,Na,
Cutting workers,51,685,41,Na,9,Na,
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",31,Na,25,Na,6,Na,
"Furnace, kiln, oven, drier, and kettle operators and tenders",6,Na,5,Na,0,Na,
"Inspectors, testers, sorters, samplers, and weighers",701,710,440,844,260,583,
Jewelers and precious stone and metal workers,19,Na,11,Na,7,Na,Jeweler
"Medical, dental, and ophthalmic laboratory technicians",86,648,44,Na,42,Na,
Packaging and filling machine operators and tenders,239,518,118,605,120,482,
Painting workers,129,708,110,733,18,Na,
Photographic process workers and processing machine operators,26,Na,12,Na,14,Na,
Semiconductor processors,1,Na,1,Na,0,Na,
Adhesive bonding machine operators and tenders,9,Na,5,Na,4,Na,
"Cleaning, washing, and metal pickling equipment operators and tenders",4,Na,2,Na,1,Na,
Cooling and freezing equipment operators and tenders,4,Na,3,Na,0,Na,
Etchers and engravers,12,Na,8,Na,4,Na,engraver
"Molders, shapers, and casters, except metal and plastic",14,Na,12,Na,2,Na,
"Paper goods machine setters, operators, and tenders",27,Na,22,Na,5,Na,
Tire builders,8,Na,8,Na,0,Na,
Helpers--production workers,24,Na,18,Na,7,Na,
"Production workers, all other",846,625,643,666,203,501,
TRANSPORTATION,6953,646,5998,679,955,494,
Supervisors of transportation and material moving workers,186,894,153,898,33,Na,
Aircraft pilots and flight engineers,114,1735,104,1830,9,Na,pilot
Air traffic controllers and airfield operations specialists,32,Na,24,Na,8,Na,
Flight attendants,63,846,20,Na,43,Na,
"Ambulance drivers and attendants, except emergency medical technicians",18,Na,14,Na,4,Na,
Bus drivers,323,615,184,681,138,572,
Driver/sales workers and truck drivers,2687,747,2582,751,105,632,driver
Taxi drivers and chauffeurs,253,585,216,600,38,Na,
"Motor vehicle operators, all other",21,Na,18,Na,3,Na,
Locomotive engineers and operators,44,Na,42,Na,2,Na,
"Railroad brake, signal, and switch operators",5,Na,5,Na,0,Na,
Railroad conductors and yardmasters,55,1117,52,1137,4,Na,yardmaster
"Subway, streetcar, and other rail transportation workers",15,Na,12,Na,3,Na,
Sailors and marine oilers,10,Na,9,Na,0,Na,sailor
Ship and boat captains and operators,29,Na,28,Na,1,Na,captain
Ship engineers,5,Na,4,Na,1,Na,
Bridge and lock tenders,4,Na,4,Na,0,Na,
Parking lot attendants,57,492,49,Na,8,Na,
Automotive and watercraft service attendants,63,452,58,470,5,Na,
Transportation inspectors,21,Na,14,Na,7,Na,
"Transportation attendants, except flight attendants",17,Na,9,Na,8,Na,
Other transportation workers,39,Na,35,Na,4,Na,
Conveyor operators and tenders,7,Na,7,Na,0,Na,
Crane and tower operators,75,988,71,1016,4,Na,
"Dredge, excavating, and loading machine operators",25,Na,25,Na,0,Na,
Hoist and winch operators,5,Na,5,Na,0,Na,
Industrial truck and tractor operators,579,609,541,612,37,Na,
Cleaners of vehicles and equipment,222,485,200,498,22,Na,
"Laborers and freight, stock, and material movers, hand",1433,526,1214,547,219,455,
Machine feeders and offbearers,30,Na,21,Na,9,Na,
"Packers and packagers, hand",385,438,158,462,227,424,
Pumping station operators,18,Na,17,Na,1,Na,
Refuse and recyclable material collectors,72,501,66,496,6,Na,
Mine shuttle car operators,0,Na,0,Na,0,Na,
"Tank car, truck, and ship loaders",6,Na,6,Na,0,Na,
"Material moving workers, all other",37,Na,32,Na,5,Na,
OTHER SOURCES OCCUPATION DATA,Na,Na,Na,Na,Na,Na,
Presidents in the U.S,,,45,,0,,president
"https://datacenter.kidscount.org/data/tables/102-child-population-by-gender#detailed/1/any/false/1729,37,871,870,573,869,36,868,867,133/14,15,65/421,422",,,51,,49,,child
https://data.worldbank.org/indicator/SP.POP.TOTL.FE.ZS?locations=US,,,99,,101,,person
immeasurable neutral,,,50,,50,,"friend, user, patient"
https://nces.ed.gov/fastfacts/display.asp?id=98,,,43,,57,,student
https://www.insidehighered.com/news/2016/08/22/study-finds-gains-faculty-diversity-not-tenure-track,,,69,,31,,professor
https://cawp.rutgers.edu/women-elective-office-2021,,,70,,30,,politician
